reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY25c,SUMY 25 MIN,Avenue De Béjar 1EA,,1120,neder over hembeek,,50.91106,4.403506,,,"""""",,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY25d,SUMY 25 min,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911097,4.40349,,,Sumy,,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY25m,SUMY 25 min,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910867,4.403383,,,Sumy,,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,Sumy2h,SUMY 2H,Avenue de béjar 1,,1120,neder over hembeek,,50.911141,4.405019,,,,,2:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,Sumy2hB,SUMY 25 min,Avenue de Béjar 1,,1120,neder over hembeek,,50.911073,4.404965,,,,,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY30b,ISPC G 30 min,Ottergemsesteenweg - Zuid 720,,,,,51.016772,3.735706,,,,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,Sumy3H,SUMY 3H,avenue de béjar 1,,1120,neder over hembeek,,50.911073,4.405126,,,,,3:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,Sumy1hE,SUMY 1h,Avenue de béjar 1,,1120,neder over hembeek,,50.911107,4.405072,,,,,1:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY3HB,SUMY 25min,Avenue de Béjar 1,,1120,neder over hembeek,,50.911057,4.405019,,,,,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY60a,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911084,4.403549,,,Sumy,,1:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY60b,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911077,4.403484,,,Sumy,,1:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY60e,SUMY 1h00,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.910894,4.403393,,,Sumy,,1:00:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,SUMY60f,SUMY 25min,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911111,4.403479,,,Sumy,,0:25:00,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,TFCOSEN4,TFCO SENEFFE,Rue Jules Bordet 167 F,,7180,seneffe,,50.505976,4.267244,,,TFCO,,,,,,,,,,
,SAMEDI 05.01,,,,visit,,,,,,,,,,,,,Tomaat,GREET BIESBROUCK,Trieu de Wasmes 9,,7740,PECK,,50.677193,3.332704,,,"""""",,0:15:00,,,,,,,,
