reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,visit duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE USINE,,Rue des lutins 3-5,1190,Forest,,50.81405,4.32396,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS1,BDGBV-BORN,Nieuwe Weideweg 1,,6121,Born,The Netherlands,51.06022,5.82346,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS2,BDGEN - BANDAG EUROPE NV,Siemenslaan 15,,3650,Dilsen-Stokkem,Belgium,51.01188,5.70749,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS3,BMCIS - ULYANOVSK,"11-Y Inzhenernyy Proyezd, 52",,432011,Ulyanovsk,Russia,54.372891,48.691508,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS4,Bridgestone Austria - BSAU,Maria-Jacobi-Gasse 1,,1030,Wien,Autriche,48.18892,16.4046,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS5,Bridgestone Deutschland - BSDL,Justus-von-Liebig-Straße 1,,61352,Bad Homburg vor der Höhe,Allemagne,50.22002,8.61449,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS6,BRIDGESTONE SCHWEIZ - BSSZ,Bodena_ckerstraße 1,,8957,Spreitenbach,Switzerland,47.42887,8.36114,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS7,BRISA BRIDGESTONE SABANCI LASTIK SANAYI VE TICARET A.S.,Alikahya Fatih Mahallesi,,41310,Çay_rköy Köyü/_zmit/Kocaeli,Turquie,40.77295,29.99861,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS8,BSAF BRIDGESTONE SOUTH AFRICA,Quality Road,,1600,Isando,South Africa,-26.14669,28.2078,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS10,BSAF BRIDGESTONE SOUTH AFRICA - Brits Plant,Hendrik Verwoerd Ave,,,Brits,South Africa,-25.6454,27.79832,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS11,BSAF BRIDGESTONE SOUTH AFRICA - Port Elizabeth Plant,2 Fairclough Rd,,,Sidwell,South Africa,-33.91766,25.59343,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS12,BSBA - BS BALTICS,Dzelzavas 117-303,,LV-1021,RIGA,Latvia,56.9474519,24.2174928,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS13,BSBL-ZEEBRUGGE,Alfred Ronsestraat 120,,8380,Zeebrugge,Belgium,51.29937,3.24912,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS14,BSBU - BS BULGARIA,102 Bulgaria Blvd,,1618,Sofia,Bulgaria,42.66015,23.28507,,,BSEMEA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BS15,BSCIS - BS RUSSIA,"Letnikovskaya street, 2 bld 3, Vivaldi Plaza",,115114,Moscow,Russia,55.7289,37.64333,,,BSEMEA,,,,,,,,,,
