reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSOVE,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DatsOve1,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSWAR,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSWAR1,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSWAV,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSWAV1,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSZAV1,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.871726,4.476907,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSZAV2,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.8718456,4.477108,,,Dats,,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,1,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,2,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,3,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,4,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,5,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,6,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
